id,KPP,INN,reliability,distance,availability
114,203345267,1523367189,8,198,False
115,034644754,0688453215,8,872,False
116,905345373,7510433773,6,299,True
117,122045252,7512087215,7,59,False
118,432601448,8995668471,10,106,True
119,091144567,4906709724,6,129,False
120,452144456,8580046508,7,455,False
121,365044861,4638785244,2,163,False
122,793843336,5009748713,3,513,True
123,663544212,6870386728,4,713,False
124,234843768,8278514290,7,842,True
125,498243854,8190102860,1,662,False
126,425145156,7479546437,7,793,True
127,568001664,2937858659,7,991,False
128,305944223,4876855933,5,317,False
129,496543739,5664566321,9,419,False
130,194201697,4589586243,5,14,True
131,472444223,3567988525,5,402,True
132,059545427,3609815894,3,848,False
133,611245178,3224189076,2,467,True
134,471544034,2816671367,3,409,False
135,504701793,3070200591,4,752,False
136,721944958,8993087190,2,297,True
137,435444673,5742804054,2,912,True
138,045701848,9239432180,4,795,False
139,231501646,4635880651,1,869,True
140,760545662,2774892298,1,545,False
141,506645068,0905289847,1,61,True
142,302845486,8407975421,2,877,False
143,392043416,3063982588,1,616,False
144,398501480,4161120970,1,70,False
145,050744317,7893071758,9,375,True
146,104043461,3847589562,9,691,True
147,782044113,1852597702,10,914,False
148,549401895,3879665738,8,107,True
149,565545058,3837521558,9,686,True
150,186301055,6943053635,10,877,True
151,039143015,4138569894,1,178,True
152,639243750,1907267590,7,568,False
153,742744056,3883074022,1,788,False
154,238301405,6514550476,8,758,False
155,109845767,1963630313,1,483,True
156,142443372,2716815897,5,259,False
157,251944955,4229071200,10,509,True
158,755143414,6438828208,3,923,False
159,701643068,0965617820,4,554,False
160,039245139,2694431686,1,700,False
161,540844622,0210012764,1,818,False
162,917644726,4770624894,2,927,True
163,299145075,8695370959,6,930,False
164,444345209,4545341542,7,214,False
165,905444701,6775017632,4,734,False
166,135744045,9091191010,1,554,False
167,288044170,1087430737,2,941,True
168,406145111,6656646800,8,789,False
169,504444857,1417681185,9,98,True
170,791101050,0469459655,9,886,True
171,110201243,5270372337,10,271,True
172,537743061,7483028533,5,750,False
173,301843851,4759169641,9,795,False
174,521901840,1503209265,2,915,False
175,391743643,6344293250,6,69,True
176,292344756,3021268117,1,68,True
177,016343639,4397712222,1,520,False
178,459544629,2141007468,1,365,False
179,626644586,5622133693,9,193,True
180,579201917,6514373795,3,444,False
181,585045174,7005883627,5,403,True
182,896744111,4371989477,6,666,True
183,245343962,6580481786,6,311,False
184,450801390,0613212607,2,267,False
185,477544050,8325230026,8,535,False
186,728045213,2896451967,8,29,False
187,092544564,0674341649,10,97,False
188,362044439,6767908307,6,1000,True
189,615843304,4135811900,4,384,True
190,268843045,0799098654,4,86,True
191,177501314,6084356234,9,649,False
192,497644045,7733367404,2,850,False
193,451445941,1998615852,8,115,False
194,558844293,2694498472,7,192,False
195,677345694,7075345051,7,546,True
196,814444671,3348903945,10,664,True
197,476243369,8765292030,3,981,False
198,376645272,3617921991,9,249,False
199,853801769,2554057284,5,498,True
