id,favorite_furniture_type,purchase_sum,last_visit_date,birthday,privileges_id,fk_user
59,32,21187,2022-06-03 20:00:11,2000-04-09,0,59
60,6,25254,2022-02-23 00:12:11,1954-10-14,0,60
61,4,19491,2022-06-21 02:59:43,1958-10-28,0,61
62,34,27989,2022-06-25 17:29:17,1962-12-01,0,62
63,35,20399,2022-07-29 22:03:20,1975-01-26,2,63
64,16,44217,2022-05-12 09:25:57,1966-09-27,2,64
65,0,30677,2022-08-31 12:15:37,1974-08-23,2,65
66,16,28603,2022-03-12 16:56:28,1999-08-06,3,66
67,16,30885,2022-03-24 23:53:59,1978-12-06,2,67
68,35,27365,2022-07-24 21:08:23,1955-11-07,2,68
69,15,21522,2022-03-17 21:38:55,1967-09-23,2,69
70,9,34984,2022-09-19 16:00:33,1990-07-18,1,70
71,34,29598,2022-04-30 10:41:16,1989-12-03,1,71
72,7,28496,2022-01-24 13:44:01,1988-05-25,1,72
73,0,34878,2022-06-25 00:30:53,1972-06-20,2,73
74,8,26850,2022-07-26 21:22:54,1979-06-01,2,74
75,19,46135,2022-07-25 10:00:44,1966-09-07,1,75
76,7,38519,2022-07-08 12:25:45,2002-10-16,2,76
77,35,19396,2022-08-26 08:07:48,1965-06-09,0,77
78,7,29107,2022-03-30 16:45:06,2002-03-05,0,78
79,20,36235,2022-01-06 07:43:10,1995-11-21,1,79
80,22,11992,2022-04-25 23:05:20,1954-10-18,1,80
81,11,20684,2022-01-06 22:54:45,1992-11-30,0,81
82,29,44494,2022-08-06 06:23:14,1955-01-14,0,82
83,3,6395,2022-03-26 08:25:43,1959-04-01,2,83
84,26,9590,2022-02-03 09:59:59,1974-03-06,2,84
85,32,9034,2022-02-23 22:02:56,2006-05-28,3,85
86,7,32261,2022-05-01 23:27:09,1956-02-16,3,86
87,15,17147,2022-07-06 13:50:26,2000-04-12,1,87
88,21,15207,2022-08-01 06:56:40,1979-02-03,1,88
89,22,43368,2022-03-12 15:28:21,1954-11-05,0,89
90,26,8997,2022-06-24 15:53:47,1975-05-20,0,90
91,17,21647,2022-05-20 20:17:17,1954-06-18,3,91
92,4,41387,2022-01-05 18:56:25,1992-10-21,0,92
93,34,27067,2022-06-07 20:21:31,1977-10-24,1,93
94,22,23862,2022-08-15 09:11:22,1955-04-17,2,94
95,19,19608,2022-07-19 10:57:10,1999-08-28,0,95
96,7,13723,2022-04-30 06:26:40,1990-07-31,2,96
97,7,1638,2022-01-07 04:17:53,1990-01-12,0,97
98,14,14930,2022-08-09 22:47:17,1972-04-24,2,98
99,21,39264,2022-05-29 02:42:56,1990-07-07,2,99
